Source,Date,Text,Positive,Neutral,Negative,Compound,Tweets Ago
FoxNews,Tue Aug 28 14:07:20 +0000 2018,"RT @FoxBusiness: .@CommerceGov @SecretaryRoss on trade agreement with Mexico: ""One of the purposes is to put wages up in Mexico."" https://t…",0.138,0.862,0.0,0.4939,78
FoxNews,Tue Aug 28 14:07:00 +0000 2018,"RT @FoxBusiness: .@CommerceGov @SecretaryRoss: ""The Canadian economy really can't survive very well without a deal with the U.S. They're to…",0.0,0.899,0.101,-0.2572,79
FoxNews,Tue Aug 28 14:06:44 +0000 2018,"RT @FoxBusiness: .@CommerceGov @SecretaryRoss on trade: ""It's pretty important that we file something very, very promptly."" https://t.co/dk…",0.25,0.75,0.0,0.6124,80
FoxNews,Tue Aug 28 14:06:36 +0000 2018,"RT @FoxBusiness: .@CommerceGov @SecretaryRoss: ""This deal is pretty well put together with Mexico. So the president, as he's indicated, is…",0.227,0.773,0.0,0.6486,81
FoxNews,Tue Aug 28 14:04:40 +0000 2018,Texans star JJ Watt's Hurricane Harvey effort raises record $41.6M https://t.co/ZPnFGrDeUu,0.215,0.785,0.0,0.4084,82
FoxNews,Tue Aug 28 13:43:33 +0000 2018,"'We Should Never Denigrate Our Flag': Jim Brown Doubles Down on Anthem Stance, Trump Support https://t.co/v852JIeQpr",0.153,0.847,0.0,0.4019,83
FoxNews,Tue Aug 28 13:27:11 +0000 2018,Court ruling against North Carolina districts could leave House control in limbo until 2019 https://t.co/m8zBrEPFAL,0.0,0.921,0.079,-0.0516,84
FoxNews,Tue Aug 28 13:02:52 +0000 2018,Tiger Woods' 'respect the office' statement about Trump blasted by ESPN host Max Kellerman https://t.co/SY3SQG545C,0.181,0.819,0.0,0.4767,85
FoxNews,Tue Aug 28 12:56:48 +0000 2018,"Firefighter, another bystander leap into action as gunfire rings out at New Mexico convenience store https://t.co/hQkie0aS5c",0.0,1.0,0.0,0.0,86
FoxNews,Tue Aug 28 12:53:28 +0000 2018,"Larry Kudlow: “Our deal with Mexico shows that free trade, fair trade can be done.” https://t.co/MQrxqgoQSz",0.286,0.714,0.0,0.6808,87
FoxNews,Tue Aug 28 12:49:38 +0000 2018,Larry Kudlow: “We would like to make a good deal with Canada.” https://t.co/XK25f4CbLa,0.351,0.649,0.0,0.6597,88
FoxNews,Tue Aug 28 12:43:16 +0000 2018,"Larry Kudlow: “It’s going to promote economic growth, both sides of the border.” https://t.co/aNaNYGVIFo",0.302,0.698,0.0,0.6369,89
FoxNews,Tue Aug 28 12:35:49 +0000 2018,Jim Brown: “We should never denigrate our flag and our national anthem.” https://t.co/Qm8GeEXYKS,0.0,1.0,0.0,0.0,90
FoxNews,Tue Aug 28 12:28:05 +0000 2018,Jim Brown: “This president is accessible and he’s different.” https://t.co/bF25orCsYZ,0.0,1.0,0.0,0.0,91
FoxNews,Tue Aug 28 12:24:04 +0000 2018,"GOP braces for Democratic investigation overload against Trump, if House flips https://t.co/EH02yxp07T",0.0,0.815,0.185,-0.3612,92
FoxNews,Tue Aug 28 12:11:31 +0000 2018,".@LindseyGrahamSC: “He was my mentor, he was my friend and I feel a real obligation to send him off well and to con… https://t.co/4OWs5jwtIq",0.209,0.791,0.0,0.6486,93
FoxNews,Tue Aug 28 11:50:39 +0000 2018,.@LindseyGrahamSC: “I’ve seen no evidence of collusion after two years.” https://t.co/QPhbYbbmJ1,0.0,0.82,0.18,-0.296,94
FoxNews,Tue Aug 28 11:41:27 +0000 2018,3-D printed gun ban extended by judge pending state challenge https://t.co/xesYOH4VxH https://t.co/pRJEECLfli,0.08,0.552,0.368,-0.6908,95
FoxNews,Tue Aug 28 11:40:16 +0000 2018,Seth Rogen's AMC series 'Preacher' features Nazi wearing MAGA hat in season finale https://t.co/meDDxKErUQ,0.0,1.0,0.0,0.0,96
FoxNews,Tue Aug 28 11:25:11 +0000 2018,"Stuart Varney: “It’s a win for President Trump, it’s a win for America.” https://t.co/ZtMtEKFwIK",0.432,0.568,0.0,0.8225,97
FoxNews,Tue Aug 28 11:09:18 +0000 2018,Florida town of Mayo changes name to 'Miracle Whip' https://t.co/7uX89rMAx5,0.297,0.703,0.0,0.5859,98
FoxNews,Tue Aug 28 11:00:36 +0000 2018,"Drake fan, 11, who got surprise hospital visit from rapper learns she's getting new heart https://t.co/j8G6bsvKh8",0.239,0.761,0.0,0.5267,99
FoxNews,Tue Aug 28 10:58:12 +0000 2018,Kelli Ward apologizes over comments on McCain's medical treatment announcement https://t.co/kXnmpMG2L7,0.2,0.8,0.0,0.3612,100
nytimes,Tue Aug 28 23:41:02 +0000 2018,"RT @joshbarone: Three male principal dancers are out at New York City Ballet: 
- Chase Finlay resigned
- Zachary Catazaro and Amar Ramasar…",0.0,0.909,0.091,-0.25,1
nytimes,Tue Aug 28 23:32:06 +0000 2018,Peter Polansky may be tennis’s luckiest loser. The Canadian player lost his way into the main draw of all of the Gr… https://t.co/ScUpCNy0sl,0.132,0.676,0.193,-0.2023,2
nytimes,Tue Aug 28 23:17:47 +0000 2018,"RT @shearm: Also, @realDonaldTrump noted that Pastor Jeffress said Trump is not ""the perfect human being, but he’s the greatest leader for…",0.209,0.719,0.072,0.7004,3
nytimes,Tue Aug 28 23:17:04 +0000 2018,RT @shearm: UPDATED SCOOP: I’ve added a bit more to my story about @realDonaldTrump remarks to evangelicals after getting more audio. POTUS…,0.104,0.896,0.0,0.3254,4
nytimes,Tue Aug 28 23:12:13 +0000 2018,First election results are coming in from Florida. Follow the vote here. https://t.co/7RamiEZNDR,0.0,1.0,0.0,0.0,5
nytimes,Tue Aug 28 23:02:08 +0000 2018,Evening Briefing: Here's what you need to know at the end of the day https://t.co/FeQdvkHIMy,0.0,1.0,0.0,0.0,6
nytimes,Tue Aug 28 22:47:02 +0000 2018,An ex-CIA officer running for Congress in Virginia accused a GOP super PAC of leaking her security clearance papers… https://t.co/28boJRpMTa,0.257,0.653,0.09,0.6249,7
nytimes,Tue Aug 28 22:31:06 +0000 2018,RT @tackettdc: A former CIA officer turned House candidate in Virginia says that a Republican-aligned Super Pac improperly disclosed her se…,0.178,0.822,0.0,0.5994,8
nytimes,Tue Aug 28 22:17:05 +0000 2018,Too many bees (and puns) to count at a Times Square hot dog stand https://t.co/blTQ0iuoi9,0.0,1.0,0.0,0.0,9
nytimes,Tue Aug 28 22:00:11 +0000 2018,A white former police officer in Texas was found guilty of murder after fatally shooting 15-year-old Jordan Edwards… https://t.co/kGBctvVZ8Z,0.0,0.562,0.438,-0.9136,10
nytimes,Tue Aug 28 21:45:01 +0000 2018,An audiotape of President Trump's remarks was provided to The New York Times by someone who attended the event. Her… https://t.co/aiyIt5m9mV,0.0,1.0,0.0,0.0,11
nytimes,Tue Aug 28 21:32:04 +0000 2018,"RT @cliffordlevy: @NYTMetro @palafo “In the bees’ brief brush with fame, they attracted hundreds of onlookers and inspired some embarrassin…",0.344,0.656,0.0,0.836,12
nytimes,Tue Aug 28 21:17:06 +0000 2018,What occurs during the life of a plant? Do telomeres play a role in longevity? https://t.co/eXGQGmLLh8,0.175,0.825,0.0,0.4137,13
nytimes,Tue Aug 28 21:00:25 +0000 2018,This Greek-style broiled shrimp recipe is ready in just 10 minutes https://t.co/ki2ksaU0Oe https://t.co/9NRxLEPyir,0.172,0.828,0.0,0.3612,14
nytimes,Tue Aug 28 20:45:08 +0000 2018,"RT @juliehdavis: ""You’re one election away from losing everything you’ve got,” Trump told evangelical leaders last night at the White House…",0.0,0.885,0.115,-0.3818,15
nytimes,Tue Aug 28 20:35:39 +0000 2018,"In remarks to evangelical ministers, President Trump spoke about religious liberty, abortion and youth unemployment… https://t.co/eg16hwGq8Q",0.185,0.815,0.0,0.5267,16
nytimes,Tue Aug 28 20:27:48 +0000 2018,Correction: A previous version of this tweet included a typo. The tweet pictured below has since been deleted. https://t.co/azsF7Lfaew,0.0,1.0,0.0,0.0,17
nytimes,Tue Aug 28 20:18:43 +0000 2018,A books dealer and a library archivist have been accused of stealing about 300 rare books and other artifacts — inc… https://t.co/M9EMmQwipn,0.0,0.742,0.258,-0.7096,18
nytimes,Tue Aug 28 20:15:05 +0000 2018,RT @TimHerrera: We're all afraid to talk about money. Here's how to break the taboo https://t.co/5hcf8aA70H by @thewildwong,0.0,1.0,0.0,0.0,19
nytimes,Tue Aug 28 20:00:14 +0000 2018,"France's environment minister resigned during a live radio interview, saying the government was not doing enough to… https://t.co/HtnUX4Cp1o",0.0,0.889,0.111,-0.25,20
nytimes,Tue Aug 28 19:45:05 +0000 2018,"“As a Democrat in Arizona, I voted for McCain as senator because I felt he was a leader for all.” Democratic reader… https://t.co/638u9MCxU9",0.0,1.0,0.0,0.0,21
nytimes,Tue Aug 28 19:30:05 +0000 2018,"52 Places Traveler: A pilgrimage to Ypres, a small city in Belgium where the remembrance of World War I is ritualiz… https://t.co/DtbOAnPdZn",0.0,0.822,0.178,-0.5994,22
nytimes,Tue Aug 28 19:15:01 +0000 2018,"Nearly 3,000 more deaths than expected occurred in the months after Hurricane Maria, a new report says https://t.co/f9rgnZT9Tj",0.0,1.0,0.0,0.0,23
nytimes,Tue Aug 28 19:07:05 +0000 2018,"RT @thunderwooddd: Today's the day! More than 20,000 people applied to work with me on The Edit, a @nytimes newsletter for college students…",0.0,1.0,0.0,0.0,24
nytimes,Tue Aug 28 19:00:08 +0000 2018,"Over the years, Ethan Hawke somehow worn his critics down with his earnestness and his dedication and his sincerity… https://t.co/fMFjE1rMZ1",0.0,0.804,0.196,-0.5267,25
nytimes,Tue Aug 28 18:55:28 +0000 2018,RT @NYTmag: Bees love protein patties. https://t.co/RcSjKfDQ0k https://t.co/TzxcHxonkF,0.375,0.625,0.0,0.6369,26
nytimes,Tue Aug 28 18:45:05 +0000 2018,"“The reason Elon seems to attract drama is that he is so transparent, so open, in a way that can come back to bite… https://t.co/8O6BlhFGCy",0.098,0.902,0.0,0.3612,27
nytimes,Tue Aug 28 18:30:06 +0000 2018,From cocktail hideways to a taste of West Africa: Here are 15 fall New York City restaurant openings you should kno… https://t.co/L4EmLPJb3K,0.0,1.0,0.0,0.0,28
nytimes,Tue Aug 28 18:25:06 +0000 2018,RT @tmagazine: How the common weed has grown on florists (and chefs) https://t.co/E36G3I26pW https://t.co/tssJmLiE4D,0.0,1.0,0.0,0.0,29
nytimes,Tue Aug 28 18:22:58 +0000 2018,"""We were two journalists with four cameras, a microphone, a tripod and notebooks trying to be unobtrusive amid the… https://t.co/t9v50qS1c0",0.0,1.0,0.0,0.0,30
nytimes,Tue Aug 28 18:15:07 +0000 2018,Canada's foreign minister rushed to Washington as top trade officials reiterated that the U.S. is prepared to leave… https://t.co/Tu9USBNbGn,0.179,0.821,0.0,0.4019,31
nytimes,Tue Aug 28 18:04:04 +0000 2018,Oklahoma primary runoff election results. Follow along here. https://t.co/0fkYghQPMh,0.0,1.0,0.0,0.0,32
nytimes,Tue Aug 28 18:02:03 +0000 2018,Arizona primary election results. Follow along here. https://t.co/xRVhugVtxE,0.0,1.0,0.0,0.0,33
nytimes,Tue Aug 28 18:00:08 +0000 2018,Florida primary election results. Follow along here. https://t.co/FxaswRkfwi,0.0,1.0,0.0,0.0,34
nytimes,Tue Aug 28 17:30:08 +0000 2018,"RT @adeelnyt: Emmett Till, 14, entered a white-owned store in Money, Miss. for less than one minute. It cost him his life 63 years ago toda…",0.0,0.938,0.062,-0.1531,35
nytimes,Tue Aug 28 17:20:06 +0000 2018,"The president of the French Tennis Federation said Serena Williams' catsuit ""didn't respect the game."" But that rai… https://t.co/OByhj6OrgN",0.0,0.91,0.09,-0.1967,36
nytimes,Tue Aug 28 17:10:09 +0000 2018,RT @ShaneGoldmacher: Some context on this: Cuomo keeps his offices icy cool. The NYT first wrote about it (hey @Liz_A_Harris: https://t.co/…,0.103,0.897,0.0,0.3182,37
nytimes,Tue Aug 28 17:00:06 +0000 2018,Our Moscow correspondent examines how the Kremlin and its propaganda machine cast John McCain as the central protag… https://t.co/bW4ZpPWlb0,0.0,0.9,0.1,-0.25,38
nytimes,Tue Aug 28 16:45:04 +0000 2018,"In Opinion

Jack Shenker writes, ""Since the Brexit referendum, we’ve seen the emergence of a host of abstract nouns… https://t.co/SO2I55ALq5",0.0,1.0,0.0,0.0,39
nytimes,Tue Aug 28 16:40:07 +0000 2018,"RT @nytimesarts: Earlier this year, Abby Schachner — one of five women who came forward to detail Louis C.K.'s inappropriate behavior — spo…",0.0,1.0,0.0,0.0,40
nytimes,Tue Aug 28 16:30:09 +0000 2018,"RT @NYTmag: ""Serena’s excellence comes with the ability to imagine herself achieving a new kind of history for all of us."" https://t.co/9dr…",0.252,0.748,0.0,0.7506,41
nytimes,Tue Aug 28 16:15:10 +0000 2018,You know that study that said no amount of alcohol is safe to drink? It's more complicated than you think. https://t.co/87fPUJmOW0,0.12,0.788,0.091,0.1779,42
nytimes,Tue Aug 28 16:00:13 +0000 2018,Andrew Cuomo and Cynthia Nixon are set to have their first and only debate on Wednesday. But before they even take… https://t.co/XWwD2vVRID,0.0,1.0,0.0,0.0,43
nytimes,Tue Aug 28 15:52:01 +0000 2018,Day 2 of the U.S. Open has started. Here's what to watch. https://t.co/DGwnJ7vHT0,0.0,1.0,0.0,0.0,44
nytimes,Tue Aug 28 15:45:10 +0000 2018,"A group of students is suing Stanford, alleging that after reporting suicidal thoughts, they were required to withd… https://t.co/MmGMhOz9pK",0.0,0.708,0.292,-0.765,45
nytimes,Tue Aug 28 15:30:08 +0000 2018,Cultural treasures and art — including Neil Armstrong's spacesuit — are slowly disintegrating as the plastic that c… https://t.co/lcBCIlktQ9,0.149,0.851,0.0,0.4215,46
nytimes,Tue Aug 28 15:20:07 +0000 2018,Rotten Tomatoes has added 200 more critics in an effort to be more inclusive to female and minority voices https://t.co/6geGHOeBxm,0.0,0.757,0.243,-0.6997,47
nytimes,Tue Aug 28 15:10:07 +0000 2018,"Mysticism is taking over the internet, from astrology memes to Instagram crystals. Is it all nonsense or a much-nee… https://t.co/xbSMCqKb7z",0.0,0.87,0.13,-0.4019,48
nytimes,Tue Aug 28 15:00:09 +0000 2018,"RT @nytimesworld: When an 11-year-old Dutch schoolboy was murdered in 1998, no DNA matches were found for a potential suspect. Now, a natio…",0.0,0.672,0.328,-0.8316,49
nytimes,Tue Aug 28 14:44:05 +0000 2018,"A group of migrants were caught illegally entering the Australian mainland by sea this week, after they survived a… https://t.co/d73rMlrDY6",0.155,0.845,0.0,0.5106,50
nytimes,Tue Aug 28 14:29:03 +0000 2018,"Over a few short August days, all the anxiety and rage of 1968 exploded in the streets of Chicago. Fifty years late… https://t.co/jf18FKvpn2",0.0,0.791,0.209,-0.6486,51
nytimes,Tue Aug 28 14:00:07 +0000 2018,President Trump attacked Google for what he claimed was an effort to intentionally suppress conservative views supp… https://t.co/qqGRsthAEG,0.0,0.85,0.15,-0.4588,52
nytimes,Tue Aug 28 13:50:03 +0000 2018,Charles Kushner and Michael Cohen face scrutiny in New York for claims that they falsified construction permits in… https://t.co/kpc42w8BUq,0.0,0.874,0.126,-0.3818,53
nytimes,Tue Aug 28 13:40:03 +0000 2018,"Louis C.K., who admitted to sexual misconduct last year, was greeted with an ovation at the Comedy Cellar on Sunday… https://t.co/LBH63RlLhE",0.25,0.75,0.0,0.6124,54
nytimes,Tue Aug 28 13:15:08 +0000 2018,Talking about money is important. So how do we begin?https://t.co/t1egXSyjy4,0.167,0.833,0.0,0.2023,55
nytimes,Tue Aug 28 13:00:08 +0000 2018,Morning Briefing: Here's what you need to know to start your day https://t.co/26TQMgidy4 https://t.co/hSEYsnMRx3,0.0,1.0,0.0,0.0,56
nytimes,Tue Aug 28 12:45:04 +0000 2018,Scientists from the University of Delaware have created a hearing test for ducks. Here's what they found. https://t.co/YPm3iEa4Og,0.111,0.889,0.0,0.25,57
nytimes,Tue Aug 28 12:30:17 +0000 2018,This commuter bus took nearly 3 hours to get to Manhattan. It was the express. https://t.co/LsiEF1PsKh https://t.co/EdxzmyW7IR,0.0,1.0,0.0,0.0,58
nytimes,Tue Aug 28 12:14:04 +0000 2018,An ideologically motivated opposition has weaponized the church's sex abuse crisis to threaten not only Francis' ag… https://t.co/ivdGC6GGCm,0.108,0.502,0.391,-0.836,59
nytimes,Tue Aug 28 12:01:04 +0000 2018,"Protesters flashing Nazi salutes and shouting ""Foreigners out"" clashed Monday night with counterdemonstrators chant… https://t.co/MS070RKoNq",0.0,0.881,0.119,-0.2263,60
nytimes,Tue Aug 28 11:44:06 +0000 2018,"""Our mothers here, they come for help,"" a pediatrician said. ""And you pity them. You can't do anything."" https://t.co/7Jd2v253xi",0.0,0.885,0.115,-0.296,61
nytimes,Tue Aug 28 11:31:05 +0000 2018,Joe Arpaio grimaced as he called himself “stupid” for being pranked by Sacha Baron Cohen. He thundered against poll… https://t.co/XQU1pAq6Iv,0.0,0.864,0.136,-0.4588,62
nytimes,Tue Aug 28 11:21:05 +0000 2018,The war inside the Catholic Church https://t.co/6RtEAqXbwJ https://t.co/ZsMXbFcJCk,0.0,0.642,0.358,-0.5994,63
nytimes,Tue Aug 28 11:10:05 +0000 2018,Arizona and Florida have primaries today. Here are the most interesting races to watch. https://t.co/CzAD0zzyWr,0.176,0.824,0.0,0.4576,64
nytimes,Tue Aug 28 11:00:11 +0000 2018,Thousands of Americans will turn out this week to honor and reflect on Senator John McCain's life. Here's how to pa… https://t.co/Q7KZOoP5HV,0.132,0.868,0.0,0.4939,65
nytimes,Tue Aug 28 10:45:07 +0000 2018,Morning Briefing: Here's what you need to know to start your day https://t.co/lH3IdfwKWR https://t.co/R8QBWpo21b,0.0,1.0,0.0,0.0,66
nytimes,Tue Aug 28 10:31:03 +0000 2018,An archbishop released a letter claiming that Pope Francis knew of sexual misconduct by Cardinal Theodore McCarrick… https://t.co/N0sqJ0xMtD,0.0,1.0,0.0,0.0,67
nytimes,Tue Aug 28 10:15:03 +0000 2018,"""I lived and died a proud American."" Senator John McCain's farewell statement: https://t.co/rjtL3BgGvQ",0.186,0.599,0.216,-0.128,68
nytimes,Tue Aug 28 10:00:08 +0000 2018,RT @nytimesworld: Their relatives died in the drug war in the Philippines. Now they want to hold Rodrigo Duterte accountable. https://t.co/…,0.049,0.672,0.28,-0.802,69
nytimes,Tue Aug 28 09:45:04 +0000 2018,“Magic Mike” and the “50 Shades of Grey” franchise have helped make male ogling big business in recent years. But m… https://t.co/Srbz4pft5w,0.0,1.0,0.0,0.0,70
nytimes,Tue Aug 28 09:30:04 +0000 2018,A wave of designer probiotic pills and powders is based on the idea that perfect skin may be linked to your tummy https://t.co/f5QL9ny2wz,0.15,0.85,0.0,0.5719,71
nytimes,Tue Aug 28 09:15:06 +0000 2018,"Russia's highest-profile opposition leader, Aleksei Navalny, was sentenced to 30 days in jail for a protest that ha… https://t.co/FVCK1pROSP",0.0,0.838,0.162,-0.2732,72
nytimes,Tue Aug 28 09:00:11 +0000 2018,The 17th-seeded Serena Williams returned to the United States Open with a fairly routine win https://t.co/8TZOKzL1Dx,0.337,0.663,0.0,0.765,73
nytimes,Tue Aug 28 08:30:10 +0000 2018,"Quit avocado. Choose bikes, not taxis. Don’t have kids. China’s consumers are downgrading, and the world could feel… https://t.co/oKouxZlBse",0.0,1.0,0.0,0.0,74
nytimes,Tue Aug 28 08:15:03 +0000 2018,"The pope’s vague answer has only heightened public interest, particularly in the core accusation — that he was told… https://t.co/9BXEsTZ02a",0.134,0.714,0.152,0.1531,75
nytimes,Tue Aug 28 08:00:10 +0000 2018,"For over a year, the Chinese government has withheld lab samples of a rapidly evolving influenza virus from the Uni… https://t.co/HbZUnD7QLl",0.0,1.0,0.0,0.0,76
nytimes,Tue Aug 28 07:45:06 +0000 2018,A key ally of South Korea's leader is accused of working with online bloggers to try to illegally manipulate public… https://t.co/ReWRaaSVGu,0.0,0.896,0.104,-0.296,77
nytimes,Tue Aug 28 07:30:03 +0000 2018,"For the first time in nearly 4 years, a group of migrants were caught illegally entering the Australian mainland by… https://t.co/7azRPhGoHi",0.0,1.0,0.0,0.0,78
nytimes,Tue Aug 28 07:15:06 +0000 2018,North Korean state media criticized the United States for “extremely provocative and dangerous military moves” in P… https://t.co/pL89wK6OMn,0.12,0.641,0.239,-0.4215,79
nytimes,Tue Aug 28 07:00:07 +0000 2018,"We’re discouraged from talking about money at every turn, but if you want to fix your financial situation, talking… https://t.co/V26CxkElax",0.068,0.845,0.087,-0.1027,80
nytimes,Tue Aug 28 06:45:05 +0000 2018,"The cave bear, extinct for thousands of years, lives on in today's brown bears, a new study shows. ""Extinction does… https://t.co/3FtRUbUKCp",0.0,1.0,0.0,0.0,81
nytimes,Tue Aug 28 06:39:33 +0000 2018,RT @suhasiniraj: We met Gajendran in the hospital a couple of months back. He was beaten up alongside his mother in law Rukmini who died th…,0.0,0.782,0.218,-0.7506,82
nytimes,Tue Aug 28 06:30:00 +0000 2018,"RT @jotted: ""Given that this flu virus is a potential threat to humanity, not sharing it immediately with the global network of W.H.O. labo…",0.0,0.696,0.304,-0.8286,83
nytimes,Tue Aug 28 06:15:04 +0000 2018,A yoga ball filled with carbon monoxide. An affair between a professor and his student. A dead wife and daughter. https://t.co/53uAXV0537,0.0,0.798,0.202,-0.6486,84
nytimes,Tue Aug 28 06:00:01 +0000 2018,🗣️ Can I live? https://t.co/vQHttgrqny,0.0,1.0,0.0,0.0,85
nytimes,Tue Aug 28 05:45:03 +0000 2018,"“This was the biggest DNA investigation in the Netherlands so far, and we’re proud of it.” An inquiry using DNA fro… https://t.co/zxpPIO4PRv",0.129,0.871,0.0,0.4767,86
nytimes,Tue Aug 28 05:30:08 +0000 2018,"“I cannot imagine any metric in which an agreement between the U.S. and Mexico can be the largest,” a trade expert https://t.co/KOEkSnh1Np",0.138,0.862,0.0,0.4939,87
nytimes,Tue Aug 28 05:15:05 +0000 2018,"In a remarkable break from usual decorum, American Catholic leaders are in open conflict over the explosive allegat… https://t.co/JTnElx2sMx",0.164,0.731,0.105,0.3182,88
nytimes,Tue Aug 28 05:04:31 +0000 2018,"Brands are reintroducing products for new generations. “What’s old is new again."" https://t.co/a8BZYz05BV",0.0,1.0,0.0,0.0,89
nytimes,Tue Aug 28 04:47:05 +0000 2018,"RT @nytopinion: “The church was in every part of my life. That moment in Galway [in 1979] when the pope said, ‘Young people of Ireland, I l…",0.0,1.0,0.0,0.0,90
nytimes,Tue Aug 28 04:32:07 +0000 2018,"By experimenting with tiny textures, scientists may have found a way to reduce the impact of barnacles, which add b… https://t.co/AJdQ8posnu",0.0,1.0,0.0,0.0,91
nytimes,Tue Aug 28 04:17:08 +0000 2018,"RT @viaSimonRomero: I interviewed Joe Arpaio in Arizona &amp; we discussed many things, among them the pummeling he’s taking in the Senate race…",0.0,1.0,0.0,0.0,92
nytimes,Tue Aug 28 04:02:05 +0000 2018,"Louis C.K. made an unannounced appearance at a New York City comedy club, performing there for the first time since… https://t.co/dZtIfKiGXJ",0.116,0.884,0.0,0.3612,93
nytimes,Tue Aug 28 03:47:06 +0000 2018,The student loan watchdog blasted the Trump administration for protecting predatory lenders at the expense of borro… https://t.co/vu5y0UDb7y,0.0,1.0,0.0,0.0,94
nytimes,Tue Aug 28 03:32:02 +0000 2018,"Rose McGowan, one of the leading voices of the #MeToo movement, has spoken out on the Asia Argento allegations. She… https://t.co/5iPVaJnCHA",0.0,1.0,0.0,0.0,95
nytimes,Tue Aug 28 03:17:03 +0000 2018,"RT @katierogers: The president ignored pleas from top advisers, including VP Pence, Kelly, Sanders and Shine to issue a unifying and prompt…",0.078,0.823,0.1,-0.128,96
nytimes,Tue Aug 28 03:02:06 +0000 2018,Why did the interview with Sarah Palin never air on Sacha Baron Cohen’s “Who Is America?” Showtime isn’t saying. https://t.co/GhaJuMambb,0.0,1.0,0.0,0.0,97
nytimes,Tue Aug 28 02:52:16 +0000 2018,"RT @nytimes: @mschwirtz Nearly 2 dozen Rohingya refugees say one Buddhist neighbor, above all, is responsible for the mass slaughter in the…",0.103,0.897,0.0,0.3182,98
nytimes,Tue Aug 28 02:48:23 +0000 2018,"@mschwirtz Nearly 2 dozen Rohingya refugees say one Buddhist neighbor, above all, is responsible for the mass slaug… https://t.co/k5Z7iwN3Iq",0.119,0.881,0.0,0.3182,99
nytimes,Tue Aug 28 02:47:03 +0000 2018,RT @mschwirtz: The Rohingya of one Myanmar village know the man who raped and tortured them for years. They say he helped soldiers torch th…,0.0,0.737,0.263,-0.8481,100
